shell,support_size_k,power,quotient_coefficient
12,5,4,75196660000
12,5,5,21348600000
12,5,6,11672500000
12,5,7,1996400000
12,5,8,1038450000
12,5,9,80500000
12,5,10,40250000
12,6,0,84557841408
12,6,1,132423911424
12,6,2,240859173888
12,6,3,165835579392
12,6,4,122176014336
12,6,5,41824677888
12,6,6,23316056064
12,6,7,4807434240
12,6,8,2523902976
12,6,9,240371712
12,6,10,120185856
12,7,0,62178377744
12,7,1,102953222176
12,7,2,233134635216
12,7,3,202789548416
12,7,4,170053282336
12,7,5,73106416320
12,7,6,41575408672
12,7,7,10044401024
12,7,8,5325264336
12,7,9,606127648
12,7,10,303063824
12,8,0,43218108416
12,8,1,86436216832
12,8,2,173694517248
12,8,3,260952817664
12,8,4,189226024960
12,8,5,117499232256
12,8,6,68203577344
12,8,7,18907922432
12,8,8,10129244160
12,8,9,1350565888
12,8,10,675282944
12,9,0,29342250000
12,9,1,58684500000
12,9,2,161553550032
12,9,3,210913766784
12,9,4,258195633696
12,9,5,144951000768
12,9,6,104956054560
12,9,7,32855808384
12,9,8,17796896208
12,9,9,2737984032
12,9,10,1368992016
12,10,0,19396084736
12,10,1,38792169472
12,10,2,130612564992
12,10,3,179625893888
12,10,4,270060980224
12,10,5,189267800064
12,10,6,142827833344
12,10,7,53580800000
12,10,8,29366400000
12,10,9,5152000000
12,10,10,2576000000
12,11,0,12433859984
12,11,1,24867719968
12,11,2,97369683024
12,11,3,146939288960
12,11,4,256660593952
12,11,5,219614813376
12,11,6,186457091872
12,11,7,79915827584
12,11,8,46050278736
12,11,9,9127082272
12,11,10,4563541136
12,12,0,7691894784
12,12,1,15383789568
12,12,2,69227053056
12,12,3,110839726080
12,12,4,226552578048
12,12,5,232190115840
12,12,6,226552578048
12,12,7,110839726080
12,12,8,69227053056
12,12,9,15383789568
12,12,10,7691894784
12,13,0,4563541136
12,13,1,9127082272
12,13,2,46050278736
12,13,3,79915827584
12,13,4,186457091872
12,13,5,219614813376
12,13,6,256660593952
12,13,7,146939288960
12,13,8,97369683024
12,13,9,24867719968
12,13,10,12433859984
12,14,0,2576000000
12,14,1,5152000000
12,14,2,29366400000
12,14,3,53580800000
12,14,4,142827833344
12,14,5,189267800064
12,14,6,270060980224
12,14,7,179625893888
12,14,8,130612564992
12,14,9,38792169472
12,14,10,19396084736
12,15,0,1368992016
12,15,1,2737984032
12,15,2,17796896208
12,15,3,32855808384
12,15,4,104956054560
12,15,5,144951000768
12,15,6,258195633696
12,15,7,210913766784
12,15,8,161553550032
12,15,9,58684500000
12,15,10,29342250000
12,16,0,675282944
12,16,1,1350565888
12,16,2,10129244160
12,16,3,18907922432
12,16,4,68203577344
12,16,5,117499232256
12,16,6,189226024960
12,16,7,260952817664
12,16,8,173694517248
12,16,9,86436216832
12,16,10,43218108416
12,17,0,303063824
12,17,1,606127648
12,17,2,5325264336
12,17,3,10044401024
12,17,4,41575408672
12,17,5,73106416320
12,17,6,170053282336
12,17,7,202789548416
12,17,8,233134635216
12,17,9,102953222176
12,17,10,62178377744
12,18,0,120185856
12,18,1,240371712
12,18,2,2523902976
12,18,3,4807434240
12,18,4,23316056064
12,18,5,41824677888
12,18,6,122176014336
12,18,7,165835579392
12,18,8,240859173888
12,18,9,132423911424
12,18,10,84557841408
12,19,0,40250000
12,19,1,80500000
12,19,2,1038450000
12,19,3,1996400000
12,19,4,11672500000
12,19,5,21348600000
12,19,6,75196660000
12,19,7,119871777152
12,19,8,221639908944
12,19,9,155237421856
12,19,10,112017246608
12,20,0,10551296
12,20,1,21102592
12,20,2,348192768
12,20,3,675282944
12,20,4,4959109120
12,20,5,9242935296
12,20,6,39905001472
12,20,7,70567067648
12,20,8,177215176704
12,20,9,161557381120
12,20,10,141931642880
12,21,0,1877904
12,21,1,3755808
12,21,2,84505680
12,21,3,165255552
12,21,4,1626264864
12,21,5,3087274176
12,21,6,17430704928
12,21,7,31774135680
12,21,8,113750278992
12,21,9,142217589024
12,21,10,167424694416
12,22,0,164864
12,22,1,329728
12,22,2,11375616
12,22,3,22421504
12,22,4,332695552
12,22,5,642969600
12,22,6,5341923328
12,22,7,10040877056
12,22,8,50946438144
12,22,9,91851999232
12,22,10,174347199488
12,23,0,2576
12,23,1,5152
12,23,2,363216
12,23,3,721280
12,23,4,21519904
12,23,5,42318528
12,23,6,689960992
12,23,7,1337603456
12,23,8,12798302160
12,23,9,24259000864
12,23,10,135199816976
12,24,0,0
16,0,0,0
16,1,0,31588983341751
16,1,1,7479857710446
16,1,2,4044832193325
16,1,3,609806676204
16,1,4,320839872111
16,1,5,31873068018
16,1,6,16476586797
16,1,7,1080105576
16,1,8,551576685
16,1,9,23047794
16,1,10,11665071
16,1,11,282348
16,1,12,141933
16,1,13,1518
16,1,14,759
16,2,0,33174988822272
16,2,1,27603467054592
16,2,2,15998573800704
16,2,3,4393680546816
16,2,4,2426986172160
16,2,5,460291797504
16,2,6,245997219072
16,2,7,31702640640
16,2,8,16544402688
16,2,9,1386164736
16,2,10,710569728
16,2,11,34974720
16,2,12,17681664
16,2,13,388608
16,2,14,194304
16,3,0,26395968657303
16,3,1,34299284533038
16,3,2,35384116168269
16,3,3,13353131826540
16,3,4,7726461916239
16,3,5,2099792005938
16,3,6,1160069076045
16,3,7,220346146152
16,3,8,117578034189
16,3,9,14809922226
16,3,10,7693789455
16,3,11,577656684
16,3,12,293808141
16,3,13,9959598
16,3,14,4979799
16,4,0,18880023429120
16,4,1,30715226750976
16,4,2,47220994670592
16,4,3,28502662053888
16,4,4,17236586594304
16,4,5,5970511134720
16,4,6,3409254875136
16,4,7,847998615552
16,4,8,462947155968
16,4,9,77895696384
16,4,10,41037004800
16,4,11,4178313216
16,4,12,2138898432
16,4,13,99483648
16,4,14,49741824
16,5,0,12780449033943
16,5,1,23359391784366
16,5,2,47867242829709
16,5,3,41554005905772
16,5,4,31616663871375
16,5,5,13093447331250
16,5,6,7725744778125
16,5,7,2358042225000
16,5,8,1317811378125
16,5,9,277580531250
16,5,10,148396359375
16,5,11,19212187500
16,5,12,9902578125
16,5,13,592968750
16,5,14,296484375
16,6,0,8254074763008
16,6,1,16508149526016
16,6,2,40462105644288
16,6,3,46804011494400
16,6,4,46145123331840
16,6,5,24351774847488
16,6,6,14842828737792
16,6,7,5333882628096
16,6,8,3053214362880
16,6,9,772546097664
16,6,10,419418590976
16,6,11,66291084288
16,6,12,34420370688
16,6,13,2549657088
16,6,14,1274828544
16,7,0,5184524583543
16,7,1,10369049167086
16,7,2,32994608707821
16,7,3,40209624263916
16,7,4,57149705038383
16,7,5,37104480249714
16,7,6,25430733734637
16,7,7,10454727794280
16,7,8,6133089076653
16,7,9,1811450359026
16,7,10,999485550063
16,7,11,187520741100
16,7,12,98135854509
16,7,13,8750967918
16,7,14,4375483959
16,8,0,3149804863488
16,8,1,6299609726976
16,8,2,22488935301120
16,8,3,38678260875264
16,8,4,46865659723776
16,8,5,55053058572288
16,8,6,36745877913600
16,8,7,18438697254912
16,8,8,11091232948224
16,8,9,3743768641536
16,8,10,2101094645760
16,8,11,458420649984
16,8,12,241944231936
16,8,13,25467813888
16,8,14,12733906944
16,9,0,1945233984375
16,9,1,3780392654574
16,9,2,14952674449773
16,9,3,26124956244972
16,9,4,49199924610351
16,9,5,49159076998770
16,9,6,54155126880621
16,9,7,28330088793192
16,9,8,18501083699373
16,9,9,7020948892914
16,9,10,4011452185455
16,9,11,1001955477996
16,9,12,533650200237
16,9,13,65344922478
16,9,14,32672461239
16,10,0,1120123893504
16,10,1,2240247787008
16,10,2,9651004329216
16,10,3,17061760871424
16,10,4,38933232922368
16,10,5,48476269785600
16,10,6,57763161967872
16,10,7,42393183774720
16,10,8,28170446400768
16,10,9,12186504000000
16,10,10,7095132000000
16,10,11,2003760000000
16,10,12,1077780000000
16,10,13,151800000000
16,10,14,75900000000
16,11,0,619139617239
16,11,1,1238279234478
16,11,2,6048517799181
16,11,3,10748681049708
16,11,4,27640794400911
16,11,5,40570196441778
16,11,6,58213545526029
16,11,7,50539572349800
16,11,8,40976031230157
16,11,9,19524356179506
16,11,10,11790927172431
16,11,11,3727272222828
16,11,12,2026334502093
16,11,13,325396781358
16,11,14,162698390679
16,12,0,326356107264
16,12,1,652712214528
16,12,2,3589917179904
16,12,3,6527122145280
16,12,4,18272072171520
16,12,5,30017022197760
16,12,6,52112491610112
16,12,7,53073500700672
16,12,8,52112491610112
16,12,9,30017022197760
16,12,10,18272072171520
16,12,11,6527122145280
16,12,12,3589917179904
16,12,13,652712214528
16,12,14,326356107264
16,13,0,162698390679
16,13,1,325396781358
16,13,2,2026334502093
16,13,3,3727272222828
16,13,4,11790927172431
16,13,5,19524356179506
16,13,6,40976031230157
16,13,7,50539572349800
16,13,8,58213545526029
16,13,9,40570196441778
16,13,10,27640794400911
16,13,11,10748681049708
16,13,12,6048517799181
16,13,13,1238279234478
16,13,14,619139617239
16,14,0,75900000000
16,14,1,151800000000
16,14,2,1077780000000
16,14,3,2003760000000
16,14,4,7095132000000
16,14,5,12186504000000
16,14,6,28170446400768
16,14,7,42393183774720
16,14,8,57763161967872
16,14,9,48476269785600
16,14,10,38933232922368
16,14,11,17061760871424
16,14,12,9651004329216
16,14,13,2240247787008
16,14,14,1120123893504
16,15,0,32672461239
16,15,1,65344922478
16,15,2,533650200237
16,15,3,1001955477996
16,15,4,4011452185455
16,15,5,7020948892914
16,15,6,18501083699373
16,15,7,28330088793192
16,15,8,54155126880621
16,15,9,49159076998770
16,15,10,49199924610351
16,15,11,26124956244972
16,15,12,14952674449773
16,15,13,3780392654574
16,15,14,1945233984375
16,16,0,12733906944
16,16,1,25467813888
16,16,2,241944231936
16,16,3,458420649984
16,16,4,2101094645760
16,16,5,3743768641536
16,16,6,11091232948224
16,16,7,18438697254912
16,16,8,36745877913600
16,16,9,55053058572288
16,16,10,46865659723776
16,16,11,38678260875264
16,16,12,22488935301120
16,16,13,6299609726976
16,16,14,3149804863488
16,17,0,4375483959
16,17,1,8750967918
16,17,2,98135854509
16,17,3,187520741100
16,17,4,999485550063
16,17,5,1811450359026
16,17,6,6133089076653
16,17,7,10454727794280
16,17,8,25430733734637
16,17,9,37104480249714
16,17,10,57149705038383
16,17,11,40209624263916
16,17,12,32994608707821
16,17,13,10369049167086
16,17,14,5184524583543
16,18,0,1274828544
16,18,1,2549657088
16,18,2,34420370688
16,18,3,66291084288
16,18,4,419418590976
16,18,5,772546097664
16,18,6,3053214362880
16,18,7,5333882628096
16,18,8,14842828737792
16,18,9,24351774847488
16,18,10,46145123331840
16,18,11,46804011494400
16,18,12,40462105644288
16,18,13,16508149526016
16,18,14,8254074763008
16,19,0,296484375
16,19,1,592968750
16,19,2,9902578125
16,19,3,19212187500
16,19,4,148396359375
16,19,5,277580531250
16,19,6,1317811378125
16,19,7,2358042225000
16,19,8,7725744778125
16,19,9,13093447331250
16,19,10,31616663871375
16,19,11,41554005905772
16,19,12,47867242829709
16,19,13,23359391784366
16,19,14,12780449033943
16,20,0,49741824
16,20,1,99483648
16,20,2,2138898432
16,20,3,4178313216
16,20,4,41037004800
16,20,5,77895696384
16,20,6,462947155968
16,20,7,847998615552
16,20,8,3409254875136
16,20,9,5970511134720
16,20,10,17236586594304
16,20,11,28502662053888
16,20,12,47220994670592
16,20,13,30715226750976
16,20,14,18880023429120
16,21,0,4979799
16,21,1,9959598
16,21,2,293808141
16,21,3,577656684
16,21,4,7693789455
16,21,5,14809922226
16,21,6,117578034189
16,21,7,220346146152
16,21,8,1160069076045
16,21,9,2099792005938
16,21,10,7726461916239
16,21,11,13353131826540
16,21,12,35384116168269
16,21,13,34299284533038
16,21,14,26395968657303
16,22,0,194304
16,22,1,388608
16,22,2,17681664
16,22,3,34974720
16,22,4,710569728
16,22,5,1386164736
16,22,6,16544402688
16,22,7,31702640640
16,22,8,245997219072
16,22,9,460291797504
16,22,10,2426986172160
16,22,11,4393680546816
16,22,12,15998573800704
16,22,13,27603467054592
16,22,14,33174988822272
16,23,0,759
16,23,1,1518
16,23,2,141933
16,23,3,282348
16,23,4,11665071
16,23,5,23047794
16,23,6,551576685
16,23,7,1080105576
16,23,8,16476586797
16,23,9,31873068018
16,23,10,320839872111
16,23,11,609806676204
16,23,12,4044832193325
16,23,13,7479857710446
16,23,14,31588983341751
16,24,0,0
24,0,0,0
24,1,0,21914624432020321
24,1,1,7308901427984066
24,1,2,4136895518914935
24,1,3,964889609845804
24,1,4,527033440877507
24,1,5,89177271909210
24,1,6,47574688462773
24,1,7,5972105016336
24,1,8,3133459283994
24,1,9,294813551652
24,1,10,152789573334
24,1,11,10765595016
24,1,12,5526778134
24,1,13,287961252
24,1,14,146728026
24,1,15,5494800
24,1,16,2782869
24,1,17,70938
24,1,18,35747
24,1,19,556
24,1,20,279
24,1,21,2
24,1,22,1
24,2,0,12855002631049216
24,2,1,25710005262098432
24,2,2,16068299690962944
24,2,3,6426594119827456
24,2,4,3796708165627904
24,2,5,1166822211428352
24,2,6,661730080542720
24,2,7,156637949657088
24,2,8,86162737176576
24,2,9,15687524696064
24,2,10,8429318529024
24,2,11,1171112361984
24,2,12,617740197888
24,2,13,64368033792
24,2,14,33450467328
24,2,15,2532900864
24,2,16,1300254720
24,2,17,67608576
24,2,18,34353152
24,2,19,1097728
24,2,20,552960
24,2,21,8192
24,2,22,4096
24,3,0,7355827511386641
24,3,1,14711655022773282
24,3,2,34677472553679879
24,3,3,18122942648529900
24,3,4,11476262044431315
24,3,5,4829581440332730
24,3,6,2900924312925285
24,3,7,972267185517840
24,3,8,560117604189690
24,3,9,147968022861540
24,3,10,82448737780086
24,3,11,16929452698632
24,3,12,9181883658294
24,3,13,1434314617956
24,3,14,760833256122
24,3,15,87351894288
24,3,16,45485503749
24,3,17,3619113210
24,3,18,1855260531
24,3,19,91407852
24,3,20,46235367
24,3,21,1062882
24,3,22,531441
24,4,0,4096000000000000
24,4,1,8192000000000000
24,4,2,22118400000000000
24,4,3,36044800000000000
24,4,4,24264292563943424
24,4,5,12483785127886848
24,4,6,7912237691830272
24,4,7,3340690255773696
24,4,8,2013174819717120
24,4,9,685659383660544
24,4,10,396234187603968
24,4,11,106808991547392
24,4,12,59604851490816
24,4,13,12400711434240
24,4,14,6720180977664
24,4,15,1039650521088
24,4,16,549571264512
24,4,17,59492007936
24,4,18,30786191360
24,4,19,2080374784
24,4,20,1056964608
24,4,21,33554432
24,4,22,16777216
24,5,0,2213314919066161
24,5,1,4426629838132322
24,5,2,13629360291091623
24,5,3,22832090744050924
24,5,4,42151080522381875
24,5,5,24949722864656250
24,5,6,16622276895853125
24,5,7,8294830927050000
24,5,8,5221674774056250
24,5,9,2148518621062500
24,5,10,1287695022093750
24,5,11,426871423125000
24,5,12,245272731093750
24,5,13,63674039062500
24,5,14,35283972656250
24,5,15,6893906250000
24,5,16,3702626953125
24,5,17,511347656250
24,5,18,267294921875
24,5,19,23242187500
24,5,20,11865234375
24,5,21,488281250
24,5,22,244140625
24,6,0,1156831381426176
24,6,1,2313662762852352
24,6,2,8097819669983232
24,6,3,13881976577114112
24,6,4,28149563614703616
24,6,5,42417150652293120
24,6,6,29590423732113408
24,6,7,16763696811933696
24,6,8,11006495000469504
24,6,9,5249293189005312
24,6,10,3262504768856064
24,6,11,1275716348706816
24,6,12,755199802957824
24,6,13,234683257208832
24,6,14,133101532717056
24,6,15,31519808225280
24,6,16,17216171495424
24,6,17,2912534765568
24,6,18,1538985111552
24,6,19,165435457536
24,6,20,84894511104
24,6,21,4353564672
24,6,22,2176782336
24,7,0,582622237229761
24,7,1,1165244474459522
24,7,2,4626706001530455
24,7,3,8088167528601388
24,7,4,18069353329724387
24,7,5,28050539130847386
24,7,6,46980366092434005
24,7,7,29389845617964048
24,7,8,20089977983335386
24,7,9,10790110348706724
24,7,10,6952319879149974
24,7,11,3114529409593224
24,7,12,1900677970316118
24,7,13,686826531039012
24,7,14,399071220095898
24,7,15,111315909152784
24,7,16,61894160648565
24,7,17,12472412144346
24,7,18,6667263302147
24,7,19,862114459948
24,7,20,444898517175
24,7,21,27682574402
24,7,22,13841287201
24,8,0,281474976710656
24,8,1,562949953421312
24,8,2,2533274790395904
24,8,3,4503599627370496
24,8,4,11118261580070912
24,8,5,17732923532771328
24,8,6,32088147345014784
24,8,7,46443371157258240
24,8,8,32986379625431040
24,8,9,19529388093603840
24,8,10,13038902235365376
24,8,11,6548416377126912
24,8,12,4121725495148544
24,8,13,1695034613170176
24,8,14,1009970149588992
24,8,15,324905686007808
24,8,16,184099478175744
24,8,17,43293270343680
24,8,18,23433341566976
24,8,19,3573412790272
24,8,20,1855425871872
24,8,21,137438953472
24,8,22,68719476736
24,9,0,129746337890625
24,9,1,259492675781250
24,9,2,1323412646484375
24,9,3,2387332617187500
24,9,4,6534025576171875
24,9,5,10680718535156250
24,9,6,20992957470703125
24,9,7,31305196406250000
24,9,8,49940922410156250
24,9,9,32056300978005924
24,9,10,22162227131480598
24,9,11,12268153284955272
24,9,12,7967462748367446
24,9,13,3666772211779620
24,9,14,2242678806016794
24,9,15,818585400253968
24,9,16,473215918550517
24,9,17,127846436847066
24,9,18,70136668226115
24,9,19,12426899605164
24,9,20,6495879339063
24,9,21,564859072962
24,9,22,282429536481
24,10,0,56693912375296
24,10,1,113387824750592
24,10,2,656029557485568
24,10,3,1198671290220544
24,10,4,3650393745797120
24,10,5,6102116201373696
24,10,6,13099268949430272
24,10,7,20096421697486848
24,10,8,34398730272743424
24,10,9,48701038848000000
24,10,10,34831749504000000
24,10,11,20962460160000000
24,10,12,14050462080000000
24,10,13,7138464000000000
24,10,14,4486032000000000
24,10,15,1833600000000000
24,10,16,1082760000000000
24,10,17,331920000000000
24,10,18,184760000000000
24,10,19,37600000000000
24,10,20,19800000000000
24,10,21,2000000000000
24,10,22,1000000000000
24,11,0,23298085122481
24,11,1,46596170244962
24,11,2,306459427380327
24,11,3,566322684515692
24,11,4,1927123857557171
24,11,5,3287925030598650
24,11,6,7753935710041989
24,11,7,12219946389485328
24,11,8,22597798244578362
24,11,9,32975650099671396
24,11,10,51357225392567094
24,11,11,33218453249406216
24,11,12,22980792705101814
24,11,13,12743132160797412
24,11,14,8235948160718586
24,11,15,3728764160639760
24,11,16,2252120640680229
24,11,17,775477120720698
24,11,18,438524037729107
24,11,19,101570954737516
24,11,20,53923905745479
24,11,21,6276856753442
24,11,22,3138428376721
24,12,0,8916100448256
24,12,1,17832200896512
24,12,2,133741506723840
24,12,3,249650812551168
24,12,4,954022747963392
24,12,5,1658394683375616
24,12,6,4324308717404160
24,12,7,6990222751432704
24,12,8,14069606507347968
24,12,9,21148990263263232
24,12,10,35289925574197248
24,12,11,49430860885131264
24,12,12,35289925574197248
24,12,13,21148990263263232
24,12,14,14069606507347968
24,12,15,6990222751432704
24,12,16,4324308717404160
24,12,17,1658394683375616
24,12,18,954022747963392
24,12,19,249650812551168
24,12,20,133741506723840
24,12,21,17832200896512
24,12,22,8916100448256
24,13,0,3138428376721
24,13,1,6276856753442
24,13,2,53923905745479
24,13,3,101570954737516
24,13,4,438524037729107
24,13,5,775477120720698
24,13,6,2252120640680229
24,13,7,3728764160639760
24,13,8,8235948160718586
24,13,9,12743132160797412
24,13,10,22980792705101814
24,13,11,33218453249406216
24,13,12,51357225392567094
24,13,13,32975650099671396
24,13,14,22597798244578362
24,13,15,12219946389485328
24,13,16,7753935710041989
24,13,17,3287925030598650
24,13,18,1927123857557171
24,13,19,566322684515692
24,13,20,306459427380327
24,13,21,46596170244962
24,13,22,23298085122481
24,14,0,1000000000000
24,14,1,2000000000000
24,14,2,19800000000000
24,14,3,37600000000000
24,14,4,184760000000000
24,14,5,331920000000000
24,14,6,1082760000000000
24,14,7,1833600000000000
24,14,8,4486032000000000
24,14,9,7138464000000000
24,14,10,14050462080000000
24,14,11,20962460160000000
24,14,12,34831749504000000
24,14,13,48701038848000000
24,14,14,34398730272743424
24,14,15,20096421697486848
24,14,16,13099268949430272
24,14,17,6102116201373696
24,14,18,3650393745797120
24,14,19,1198671290220544
24,14,20,656029557485568
24,14,21,113387824750592
24,14,22,56693912375296
24,15,0,282429536481
24,15,1,564859072962
24,15,2,6495879339063
24,15,3,12426899605164
24,15,4,70136668226115
24,15,5,127846436847066
24,15,6,473215918550517
24,15,7,818585400253968
24,15,8,2242678806016794
24,15,9,3666772211779620
24,15,10,7967462748367446
24,15,11,12268153284955272
24,15,12,22162227131480598
24,15,13,32056300978005924
24,15,14,49940922410156250
24,15,15,31305196406250000
24,15,16,20992957470703125
24,15,17,10680718535156250
24,15,18,6534025576171875
24,15,19,2387332617187500
24,15,20,1323412646484375
24,15,21,259492675781250
24,15,22,129746337890625
24,16,0,68719476736
24,16,1,137438953472
24,16,2,1855425871872
24,16,3,3573412790272
24,16,4,23433341566976
24,16,5,43293270343680
24,16,6,184099478175744
24,16,7,324905686007808
24,16,8,1009970149588992
24,16,9,1695034613170176
24,16,10,4121725495148544
24,16,11,6548416377126912
24,16,12,13038902235365376
24,16,13,19529388093603840
24,16,14,32986379625431040
24,16,15,46443371157258240
24,16,16,32088147345014784
24,16,17,17732923532771328
24,16,18,11118261580070912
24,16,19,4503599627370496
24,16,20,2533274790395904
24,16,21,562949953421312
24,16,22,281474976710656
24,17,0,13841287201
24,17,1,27682574402
24,17,2,444898517175
24,17,3,862114459948
24,17,4,6667263302147
24,17,5,12472412144346
24,17,6,61894160648565
24,17,7,111315909152784
24,17,8,399071220095898
24,17,9,686826531039012
24,17,10,1900677970316118
24,17,11,3114529409593224
24,17,12,6952319879149974
24,17,13,10790110348706724
24,17,14,20089977983335386
24,17,15,29389845617964048
24,17,16,46980366092434005
24,17,17,28050539130847386
24,17,18,18069353329724387
24,17,19,8088167528601388
24,17,20,4626706001530455
24,17,21,1165244474459522
24,17,22,582622237229761
24,18,0,2176782336
24,18,1,4353564672
24,18,2,84894511104
24,18,3,165435457536
24,18,4,1538985111552
24,18,5,2912534765568
24,18,6,17216171495424
24,18,7,31519808225280
24,18,8,133101532717056
24,18,9,234683257208832
24,18,10,755199802957824
24,18,11,1275716348706816
24,18,12,3262504768856064
24,18,13,5249293189005312
24,18,14,11006495000469504
24,18,15,16763696811933696
24,18,16,29590423732113408
24,18,17,42417150652293120
24,18,18,28149563614703616
24,18,19,13881976577114112
24,18,20,8097819669983232
24,18,21,2313662762852352
24,18,22,1156831381426176
24,19,0,244140625
24,19,1,488281250
24,19,2,11865234375
24,19,3,23242187500
24,19,4,267294921875
24,19,5,511347656250
24,19,6,3702626953125
24,19,7,6893906250000
24,19,8,35283972656250
24,19,9,63674039062500
24,19,10,245272731093750
24,19,11,426871423125000
24,19,12,1287695022093750
24,19,13,2148518621062500
24,19,14,5221674774056250
24,19,15,8294830927050000
24,19,16,16622276895853125
24,19,17,24949722864656250
24,19,18,42151080522381875
24,19,19,22832090744050924
24,19,20,13629360291091623
24,19,21,4426629838132322
24,19,22,2213314919066161
24,20,0,16777216
24,20,1,33554432
24,20,2,1056964608
24,20,3,2080374784
24,20,4,30786191360
24,20,5,59492007936
24,20,6,549571264512
24,20,7,1039650521088
24,20,8,6720180977664
24,20,9,12400711434240
24,20,10,59604851490816
24,20,11,106808991547392
24,20,12,396234187603968
24,20,13,685659383660544
24,20,14,2013174819717120
24,20,15,3340690255773696
24,20,16,7912237691830272
24,20,17,12483785127886848
24,20,18,24264292563943424
24,20,19,36044800000000000
24,20,20,22118400000000000
24,20,21,8192000000000000
24,20,22,4096000000000000
24,21,0,531441
24,21,1,1062882
24,21,2,46235367
24,21,3,91407852
