law_id,law_code,law_name,source_id,target_id,left_num,left_den,right_num,right_den,diff_num,diff_den,equal_flag,left_num_digits,left_den_digits,left_num_mod_1000000007,left_den_mod_1000000007,left_num_mod_1000000009,left_den_mod_1000000009,right_num_digits,right_den_digits,right_num_mod_1000000007,right_den_mod_1000000007,right_num_mod_1000000009,right_den_mod_1000000009
11,1,kernel,2,2,1348572452366748745415634477758785067664077334410209360105471986283925342110930566208827441367832036734864035606493207078230373166706056715246670855931526045896095565619567099988930298835807494990083507352410121246478291410571753842949889974636651307940323271,1638517415648788906654975726335309897572545111354208880182718651409288469393988467335848188921306811639664956319804434062221581930257866213227051018116494734804825876078113460071143372840591866624789903788943790394392738822959954678531898632143373889510164432,1348572452366748745415634477758785067664077334410209360105471986283925342110930566208827441367832036734864035606493207078230373166706056715246670855931526045896095565619567099988930298835807494990083507352410121246478291410571753842949889974636651307940323271,1638517415648788906654975726335309897572545111354208880182718651409288469393988467335848188921306811639664956319804434062221581930257866213227051018116494734804825876078113460071143372840591866624789903788943790394392738822959954678531898632143373889510164432,0,1,1,259,259,612084781,409710334,717766923,894730865,259,259,612084781,409710334,717766923,894730865
12,2,deviation,1,0,671,2292,671,2292,0,1,1,3,4,671,2292,671,2292,3,4,671,2292,671,2292
13,2,deviation,1,1,36,191,36,191,0,1,1,2,3,36,191,36,191,2,3,36,191,36,191
14,2,deviation,1,2,1189,2292,1189,2292,0,1,1,4,4,1189,2292,1189,2292,4,4,1189,2292,1189,2292
15,2,deviation,2,0,758402940992736471145807766656925500490055164646317158292946048283917848421701703629156383102713767683504008039576336125401644630671357875600369811574389176322026554217765137471958038663641239805105291243050604469003260733757350870709929742550756387113850879,3158521376507169196007741265568149945530928002711393400654996761169124618882272133838321319602720952294459276606384998209093242879857888444673171516840206839506022630757809966764558965980350343401192985268510653981453454484629281852981590971297403662537676096,758402940992736471145807766656925500490055164646317158292946048283917848421701703629156383102713767683504008039576336125401644630671357875600369811574389176322026554217765137471958038663641239805105291243050604469003260733757350870709929742550756387113850879,3158521376507169196007741265568149945530928002711393400654996761169124618882272133838321319602720952294459276606384998209093242879857888444673171516840206839506022630757809966764558965980350343401192985268510653981453454484629281852981590971297403662537676096,0,1,1,258,259,618582603,915101839,518772888,766798261,258,259,618582603,915101839,518772888,766798261
16,2,deviation,2,1,475303639169763940508782059433995957530627040827537238250500027335287035116845878217113743087855722339875739543752972879437893274291517338417264383021994822763869803441875694067415581179314931397024331145637113373498647504521720241536612632043597959624053,16450632169308172895873652424834114299640250014121840628411441464422524056678500697074590206264171626533642065658255199005693973332593168982672768316876077289093867868530260243565411281147658038547880131606826322820070075440777509650945786308840644075717063,475303639169763940508782059433995957530627040827537238250500027335287035116845878217113743087855722339875739543752972879437893274291517338417264383021994822763869803441875694067415581179314931397024331145637113373498647504521720241536612632043597959624053,16450632169308172895873652424834114299640250014121840628411441464422524056678500697074590206264171626533642065658255199005693973332593168982672768316876077289093867868530260243565411281147658038547880131606826322820070075440777509650945786308840644075717063,0,1,1,255,257,922296826,41224489,620353787,936285416,255,257,922296826,41224489,620353787,936285416
17,2,deviation,2,2,310847348629216985525233357905363868061469413956408047498949521931153309782601748384383267527356107437789159435953508870250764778136973942670205090676368946739450626410735788679224365558378174735747289537349502977656357833671378847216713213224798231924892005,1579260688253584598003870632784074972765464001355696700327498380584562309441136066919160659801360476147229638303192499104546621439928944222336585758420103419753011315378904983382279482990175171700596492634255326990726727242314640926490795485648701831268838048,310847348629216985525233357905363868061469413956408047498949521931153309782601748384383267527356107437789159435953508870250764778136973942670205090676368946739450626410735788679224365558378174735747289537349502977656357833671378847216713213224798231924892005,1579260688253584598003870632784074972765464001355696700327498380584562309441136066919160659801360476147229638303192499104546621439928944222336585758420103419753011315378904983382279482990175171700596492634255326990726727242314640926490795485648701831268838048,0,1,1,258,259,528716642,957550923,463875463,883399135,258,259,528716642,957550923,463875463,883399135
18,2,deviation,2,3,7054020566013652746211378123549675362666172581315909114887159947720827042541707471122606695929054881484516085333497218168908750365469888323116789717527723288298671996628458722589127203702433173047519500383095761311405132335192690802360733381417264487206245,65802528677232691583494609699336457198561000056487362513645765857690096226714002788298360825056686506134568262633020796022775893330372675930691073267504309156375471474121040974261645124590632154191520526427305291280280301763110038603783145235362576302868252,7054020566013652746211378123549675362666172581315909114887159947720827042541707471122606695929054881484516085333497218168908750365469888323116789717527723288298671996628458722589127203702433173047519500383095761311405132335192690802360733381417264487206245,65802528677232691583494609699336457198561000056487362513645765857690096226714002788298360825056686506134568262633020796022775893330372675930691073267504309156375471474121040974261645124590632154191520526427305291280280301763110038603783145235362576302868252,0,1,1,256,257,511375250,164897956,72803782,745141637,256,257,511375250,164897956,72803782,745141637
19,2,deviation,2,4,1348572452366748745415634477758785067664077334410209360105471986283925342110930566208827441367832036734864035606493207078230373166706056715246670855931526045896095565619567099988930298835807494990083507352410121246478291410571753842949889974636651307940323271,3158521376507169196007741265568149945530928002711393400654996761169124618882272133838321319602720952294459276606384998209093242879857888444673171516840206839506022630757809966764558965980350343401192985268510653981453454484629281852981590971297403662537676096,1348572452366748745415634477758785067664077334410209360105471986283925342110930566208827441367832036734864035606493207078230373166706056715246670855931526045896095565619567099988930298835807494990083507352410121246478291410571753842949889974636651307940323271,3158521376507169196007741265568149945530928002711393400654996761169124618882272133838321319602720952294459276606384998209093242879857888444673171516840206839506022630757809966764558965980350343401192985268510653981453454484629281852981590971297403662537676096,0,1,1,259,259,612084781,915101839,717766923,766798261,259,259,612084781,915101839,717766923,766798261
20,2,deviation,3,0,575175020906432117709937258957923758317293838210194691277573857042578628578738468317354746800638880005864663664883164219700769388301758192288648836757837438088079354244941612322617585507440168284067987804928288943903791130555248145511247269146327790864750313377275873242610139067994675742360601534075628206948761637572689501252810650477244791791844295776249576691713783297961090586148358531131985129817964693171494619999653067639851178122091938902051282213137154430185295872115362442338616256588402562590368649072641,2920623315360903344557932293548213403952011529198325873542590326122854009918820154399752753105276604787114959262422024931909084061031914247517867005750459624728259732123977288946072201047067108440852839493316814024380093199920782679183598430991153567960825465366926491045363635649461961029989033634912491540882540264115704243728107470164212159253471873897618649857465006671829716291204810338727540298647246328630547708968887149239875872970703769555758184435204377250892242853626553194823517638249677558017811426167808,575175020906432117709937258957923758317293838210194691277573857042578628578738468317354746800638880005864663664883164219700769388301758192288648836757837438088079354244941612322617585507440168284067987804928288943903791130555248145511247269146327790864750313377275873242610139067994675742360601534075628206948761637572689501252810650477244791791844295776249576691713783297961090586148358531131985129817964693171494619999653067639851178122091938902051282213137154430185295872115362442338616256588402562590368649072641,2920623315360903344557932293548213403952011529198325873542590326122854009918820154399752753105276604787114959262422024931909084061031914247517867005750459624728259732123977288946072201047067108440852839493316814024380093199920782679183598430991153567960825465366926491045363635649461961029989033634912491540882540264115704243728107470164212159253471873897618649857465006671829716291204810338727540298647246328630547708968887149239875872970703769555758184435204377250892242853626553194823517638249677558017811426167808,0,1,1,516,517,55744571,431069752,901732790,588971286,516,517,55744571,431069752,901732790,588971286
21,2,deviation,3,1,1697916545975438349419369655339655530571788199889753640987488211120971602375550435475992124828325171287094898490663355781052901865917837770792149495149648702234167804788744604577471681481551937879816555978874917579107750338038780655705222845335806956406932275239666795871574424974981518500874243606426124871180398359126637052099611361610910371261245014410635502018619866076246101941792709824417156721235969951072761212540761711580127832865321387193560372776582755767836672901356262240278345277422254115931503421061,68452108953771172138076538130036251655125270215585762661154460768504390857472347368744205150904920424698006857713016209341619157680435490176200007947276397454568587471655717709673567212040635354082488425624612828696408434373143344043365588226355161749081846844537339633875710210534264711640367975818261520489434537440211818212377518831973722482503247044475437106034336093871008975575112742313926725749544835827278461928958292560309590772750869598963082447700102591817786941881872340503676194646476817766042455300808,1697916545975438349419369655339655530571788199889753640987488211120971602375550435475992124828325171287094898490663355781052901865917837770792149495149648702234167804788744604577471681481551937879816555978874917579107750338038780655705222845335806956406932275239666795871574424974981518500874243606426124871180398359126637052099611361610910371261245014410635502018619866076246101941792709824417156721235969951072761212540761711580127832865321387193560372776582755767836672901356262240278345277422254115931503421061,68452108953771172138076538130036251655125270215585762661154460768504390857472347368744205150904920424698006857713016209341619157680435490176200007947276397454568587471655717709673567212040635354082488425624612828696408434373143344043365588226355161749081846844537339633875710210534264711640367975818261520489434537440211818212377518831973722482503247044475437106034336093871008975575112742313926725749544835827278461928958292560309590772750869598963082447700102591817786941881872340503676194646476817766042455300808,0,1,1,514,515,732261082,822603203,610620197,623179020,514,515,732261082,822603203,610620197,623179020
22,2,deviation,3,2,881822286877452964599246000384828914482171678033129438338925211067051716301302792413328486223916544859984302599780474607001559222219841274668821902658264568273709643161556736716783646632625819942444480986910500486434821598118837904591646500024281045321012737114285391912531503415878990121666608826208941384005167880229151946871439350624268577959383635554537251134813703951006644346275083375392101687147345657724927783093283321559727902731904097889065947864036457668259035416344539950573857022724930482420293442902674655,10417863365892342230038144491086477211896825124650428390926419693280220253380431490743918070326521649275639059689059362932119702845700838120896231609511889481405702464486226989670639541134888375808522078472661075624963792444117431816647895603345444776916264434963826793558812088361630814993970882975732857326328021122100717037378159346075744772057134174192805724041577678798416598010727558478241136245274727654225163677892020461338637238886500346005389443880374013653932630258885915245935487415636599849449533357140571136,881822286877452964599246000384828914482171678033129438338925211067051716301302792413328486223916544859984302599780474607001559222219841274668821902658264568273709643161556736716783646632625819942444480986910500486434821598118837904591646500024281045321012737114285391912531503415878990121666608826208941384005167880229151946871439350624268577959383635554537251134813703951006644346275083375392101687147345657724927783093283321559727902731904097889065947864036457668259035416344539950573857022724930482420293442902674655,10417863365892342230038144491086477211896825124650428390926419693280220253380431490743918070326521649275639059689059362932119702845700838120896231609511889481405702464486226989670639541134888375808522078472661075624963792444117431816647895603345444776916264434963826793558812088361630814993970882975732857326328021122100717037378159346075744772057134174192805724041577678798416598010727558478241136245274727654225163677892020461338637238886500346005389443880374013653932630258885915245935487415636599849449533357140571136,0,1,1,519,521,76064753,625794625,759913463,860558262,519,521,76064753,625794625,759913463,860558262
23,2,deviation,3,3,84067867443254376097007632237517004363044877972066469350688225672607803209266248785900470446154588325375110970187836169294915248036552131804557592656378169157052641125143955118926693277291321159542484669618519685917847308193495222667100091095148159435512230310803704777469017486656533921638717290849749338455341819007857718242585290053087829275127935886709416990364681208819386612658406766166023706957751543121698267308380995979013503417706684611453731784251430009857934168446594730626130536092897217306741601686391893,868155280491028519169845374257206434324735427054202365910534974440018354448369290895326505860543470772969921640754946911009975237141736510074685967459324123450475205373852249139219961761240697984043506539388422968746982703676452651387324633612120398076355369580318899463234340696802567916164240247977738110527335093508393086448179945506312064338094514516067143670131473233201383167560629873186761353772893971185430306491001705111553103240541695500449120323364501137827719188240492937161290617969716654120794446428380928,84067867443254376097007632237517004363044877972066469350688225672607803209266248785900470446154588325375110970187836169294915248036552131804557592656378169157052641125143955118926693277291321159542484669618519685917847308193495222667100091095148159435512230310803704777469017486656533921638717290849749338455341819007857718242585290053087829275127935886709416990364681208819386612658406766166023706957751543121698267308380995979013503417706684611453731784251430009857934168446594730626130536092897217306741601686391893,868155280491028519169845374257206434324735427054202365910534974440018354448369290895326505860543470772969921640754946911009975237141736510074685967459324123450475205373852249139219961761240697984043506539388422968746982703676452651387324633612120398076355369580318899463234340696802567916164240247977738110527335093508393086448179945506312064338094514516067143670131473233201383167560629873186761353772893971185430306491001705111553103240541695500449120323364501137827719188240492937161290617969716654120794446428380928,0,1,1,518,519,853576652,135482886,913691137,571713193,518,519,853576652,135482886,913691137,571713193
24,2,deviation,3,4,1478264583273713770171502014310820817516461837830094739514889150893743153312082002458139515305898140276301068448803925045116634741074474836713909783277510972016728214140815221016090924141909832565472722999993840990984863319468970242059740511023532581757529828306246133602088020670134687082735378544851600639041778156249280440316285978487450384050814932665202569484229789948374511730269988884540620452672970038767877065584944036019864845384353455811816735197349666516418202440892665584873885429612576830218420891409476493,10417863365892342230038144491086477211896825124650428390926419693280220253380431490743918070326521649275639059689059362932119702845700838120896231609511889481405702464486226989670639541134888375808522078472661075624963792444117431816647895603345444776916264434963826793558812088361630814993970882975732857326328021122100717037378159346075744772057134174192805724041577678798416598010727558478241136245274727654225163677892020461338637238886500346005389443880374013653932630258885915245935487415636599849449533357140571136,1478264583273713770171502014310820817516461837830094739514889150893743153312082002458139515305898140276301068448803925045116634741074474836713909783277510972016728214140815221016090924141909832565472722999993840990984863319468970242059740511023532581757529828306246133602088020670134687082735378544851600639041778156249280440316285978487450384050814932665202569484229789948374511730269988884540620452672970038767877065584944036019864845384353455811816735197349666516418202440892665584873885429612576830218420891409476493,10417863365892342230038144491086477211896825124650428390926419693280220253380431490743918070326521649275639059689059362932119702845700838120896231609511889481405702464486226989670639541134888375808522078472661075624963792444117431816647895603345444776916264434963826793558812088361630814993970882975732857326328021122100717037378159346075744772057134174192805724041577678798416598010727558478241136245274727654225163677892020461338637238886500346005389443880374013653932630258885915245935487415636599849449533357140571136,0,1,1,520,521,328265452,625794625,359870576,860558262,520,521,328265452,625794625,359870576,860558262
25,2,deviation,3,5,401626577402451568038496316516522003266608638843435927235137261519400404657416853632319611148927260465969134246290822549193985812979134437398523834090252668251480721592401214735535344326626011905882896902193014397414948809334710837329735703974971380675289725476754522375083663378158719996337678383272744649111840762707112909480510669198383783960747165676770459168621024650302962028331125704689246682664064910352953706580387182054984473157919572011368419700490643775457898045539093487519308968282245716760705764015945,3881469212329486672890515831254276159425046618722216241030707784381602180842187589695945629778882879759925134012317199304068443683197033577085034131710838107826267684234808863513651095802864521538197495705164335180686956946392485773713821014659256623292199863995464528151569332474527129282403458634773791850345760477682830490826437908373973462018306324214905262310572905662599328618005796750462420359640360526909524470153509858919015364711810859167432728718470198827843751959346466187010241212979359109332911086863104,401626577402451568038496316516522003266608638843435927235137261519400404657416853632319611148927260465969134246290822549193985812979134437398523834090252668251480721592401214735535344326626011905882896902193014397414948809334710837329735703974971380675289725476754522375083663378158719996337678383272744649111840762707112909480510669198383783960747165676770459168621024650302962028331125704689246682664064910352953706580387182054984473157919572011368419700490643775457898045539093487519308968282245716760705764015945,3881469212329486672890515831254276159425046618722216241030707784381602180842187589695945629778882879759925134012317199304068443683197033577085034131710838107826267684234808863513651095802864521538197495705164335180686956946392485773713821014659256623292199863995464528151569332474527129282403458634773791850345760477682830490826437908373973462018306324214905262310572905662599328618005796750462420359640360526909524470153509858919015364711810859167432728718470198827843751959346466187010241212979359109332911086863104,0,1,1,516,517,838924042,607163117,345718906,127742385,516,517,838924042,607163117,345718906,127742385
26,2,deviation,3,6,1818647659282466813880676535877750357847743058049298908221045434392578331299674608508957780337496168750494981916267797969062702600636741460494367423904777085292129723691012101413728906709941987397729661886305170966102249141488300481871131935104188618258842164920031427623528455532752772291628733620851617482871273076069605755107700078291053124217712358861915205537515310755134821475769673451954647119678101550694617431223892626276777027471915304056219511686030764450741000858432158930838582785694236853538247984139441,5175292283105982230520687775005701545900062158296288321374277045842136241122916786261260839705177173013233512016422932405424591577596044769446712175614450810435023578979745151351534794403819362050929994273552446907582609261856647698285094686212342164389599818660619370868759109966036172376537944846365055800461013970243773987768583877831964616024408432286540349747430540883465771490674395667283227146187147369212699293538013145225353819615747812223243638291293598437125002612461954916013654950639145479110548115817472,1818647659282466813880676535877750357847743058049298908221045434392578331299674608508957780337496168750494981916267797969062702600636741460494367423904777085292129723691012101413728906709941987397729661886305170966102249141488300481871131935104188618258842164920031427623528455532752772291628733620851617482871273076069605755107700078291053124217712358861915205537515310755134821475769673451954647119678101550694617431223892626276777027471915304056219511686030764450741000858432158930838582785694236853538247984139441,5175292283105982230520687775005701545900062158296288321374277045842136241122916786261260839705177173013233512016422932405424591577596044769446712175614450810435023578979745151351534794403819362050929994273552446907582609261856647698285094686212342164389599818660619370868759109966036172376537944846365055800461013970243773987768583877831964616024408432286540349747430540883465771490674395667283227146187147369212699293538013145225353819615747812223243638291293598437125002612461954916013654950639145479110548115817472,0,1,1,517,517,509283529,476217487,116183770,170323180,517,517,509283529,476217487,116183770,170323180
27,2,deviation,4,0,436214427440996803527510111380867731285258318503691420192811728452228864165716816734244010431202347610866190538666213764534574390935529962794169197998015911430892801466335903587667185134228818314855897561348426713373736314838843335664402907842755998458476613721247414114925129495586289541240906569506322048397323805880000115974900902037038082688378560746086966808402380448373946602627025236273491857762443489279978238085995564885045646395735677484924806541318764529995561172821474763396993283985281732052423529101090693860282879906277193500939548034028037102537661364639757567120351565595356581863067462732405920612981013679816459103881780825354686151789506527134350150859444752651184397091872230537279036232041093773379082986998884875593439198790535506706645339029712701439,2700643602945187547616534374735401644236841353989786441333174710823193234886018050244617004907017290818909110789834416183097778582118284207418550852276736513897244524697954738607958846468698421707642553969336216419572082542602024972800408761686083107079932356209748305179569892806317878364716385878786664081002766128381993075326811712319355316788842008116007618705861290130011877516780803134463971095179296684338041566136233449156019085333054031813380367537584276337020341679530387215497115232620515585414378268076260973345164342332677984012914271072734655188926079408346524326393211534761795616486421825469991603860270391324925232405608947870118610792228915194984141998111800907086712371819647830576450367776404505591092028637992862616852594302299583138478047633999044624384,436214427440996803527510111380867731285258318503691420192811728452228864165716816734244010431202347610866190538666213764534574390935529962794169197998015911430892801466335903587667185134228818314855897561348426713373736314838843335664402907842755998458476613721247414114925129495586289541240906569506322048397323805880000115974900902037038082688378560746086966808402380448373946602627025236273491857762443489279978238085995564885045646395735677484924806541318764529995561172821474763396993283985281732052423529101090693860282879906277193500939548034028037102537661364639757567120351565595356581863067462732405920612981013679816459103881780825354686151789506527134350150859444752651184397091872230537279036232041093773379082986998884875593439198790535506706645339029712701439,2700643602945187547616534374735401644236841353989786441333174710823193234886018050244617004907017290818909110789834416183097778582118284207418550852276736513897244524697954738607958846468698421707642553969336216419572082542602024972800408761686083107079932356209748305179569892806317878364716385878786664081002766128381993075326811712319355316788842008116007618705861290130011877516780803134463971095179296684338041566136233449156019085333054031813380367537584276337020341679530387215497115232620515585414378268076260973345164342332677984012914271072734655188926079408346524326393211534761795616486421825469991603860270391324925232405608947870118610792228915194984141998111800907086712371819647830576450367776404505591092028637992862616852594302299583138478047633999044624384,0,1,1,774,775,590919966,684516427,462446849,350191578,774,775,590919966,684516427,462446849,350191578
28,2,deviation,4,1,2690374582744654989792771410451985021796452618640413955369463643147887929825516280382211494352393853934506766215423135994541418620266615167385278861284314917298098474838506931188732959374026442555093401057900436999957296947638713195831652540351790777577177790540438053982298083325106691834771297511408125624566138602599247907530616284671241143939343159059730095826979198948234169013077451920601177608924609505653343565582250322699943880667094107918465679085778885547889307554046686916927429015107639476016482128564558110949411256596349741521205104544975921894941536883887911526929385991620166739473088082332916478035496125994852354734659217549945553485412169706767413647660533251061724792696086052298478587400230980704596988877562174653849965919791069981199087450177344719,126592668888055666294525048815721952073601938468271239437492564569837182885282096105216422105016435507136364568273488258582708371036794572222744571200472024088933337095216628372248070928220238517545744717312635144667441369184469920600019160704035145644371829197331951805292338725296150548346080588068124878797004662267905925405944299014969780474476969130437857126837247974844306758599100146927998645086529532078345698412635942929188394624986907741252204728324262953297828516227986900726427276529086668066298981316074733125554578546844280500605356456534436961980909972266243327799681790691959169522801023068905856430950174593355870269012919431411809880885730399764881656161490667519689642429045992058271110989518961199582438842405915435164965357920292959616158482843705216768,2690374582744654989792771410451985021796452618640413955369463643147887929825516280382211494352393853934506766215423135994541418620266615167385278861284314917298098474838506931188732959374026442555093401057900436999957296947638713195831652540351790777577177790540438053982298083325106691834771297511408125624566138602599247907530616284671241143939343159059730095826979198948234169013077451920601177608924609505653343565582250322699943880667094107918465679085778885547889307554046686916927429015107639476016482128564558110949411256596349741521205104544975921894941536883887911526929385991620166739473088082332916478035496125994852354734659217549945553485412169706767413647660533251061724792696086052298478587400230980704596988877562174653849965919791069981199087450177344719,126592668888055666294525048815721952073601938468271239437492564569837182885282096105216422105016435507136364568273488258582708371036794572222744571200472024088933337095216628372248070928220238517545744717312635144667441369184469920600019160704035145644371829197331951805292338725296150548346080588068124878797004662267905925405944299014969780474476969130437857126837247974844306758599100146927998645086529532078345698412635942929188394624986907741252204728324262953297828516227986900726427276529086668066298981316074733125554578546844280500605356456534436961980909972266243327799681790691959169522801023068905856430950174593355870269012919431411809880885730399764881656161490667519689642429045992058271110989518961199582438842405915435164965357920292959616158482843705216768,0,1,1,772,774,172371561,672711712,935120009,547665235,772,774,172371561,672711712,935120009,547665235
