rank,p35_id,source_count,source_min_rank,source_max_rank,p25_a,p25_b,p25_c,p25_d,p25_e,p25_f,p24_a,p24_b,p24_c,p24_d,p24_e,p24_f,lift_a,lift_b,lift_c,lift_d,lift_e,lift_f,face_a,face_b,face_c,face_d,face_e,face_f,mask_a,mask_b,mask_c,mask_d,mask_e,mask_f,same_lift_flag,same_face_flag,same_mask_flag,joint_p0_support,joint_p1_support,joint_p2_support,joint_p3_support,joint_p4_support,joint_support_min,joint_support_max,joint_support_spread,below_p33_floor_flag,below_p32_floor_flag,below_p31_floor_flag,below_p30_floor_flag,below_p29_floor_flag,below_p28_floor_flag,below_p27_floor_flag,below_p25_floor_flag,support_equal_flag,joint_mult_value
14,13409,1,420,420,2,18,20,29,36,44,1,9,10,14,18,22,0,0,0,0,0,0,12,12,12,12,12,12,30,30,30,30,30,30,1,1,1,212910720,210880192,212739392,213077632,216649600,210880192,216649600,5769408,1,1,0,0,0,0,1,1,0,3277062144
15,34353,1,421,421,10,12,26,28,34,37,5,6,13,14,17,18,0,0,0,0,0,0,12,12,12,12,12,12,30,30,30,30,30,30,1,1,1,210880192,212910720,213077632,212739392,216649600,210880192,216649600,5769408,1,1,0,0,0,0,1,1,0,2682519552
16,43121,1,473,473,12,27,118,120,128,132,6,13,59,60,64,66,0,0,2,2,2,2,12,12,26,26,26,26,30,30,51,51,51,51,0,0,0,320360800,321760352,320849408,322226432,326137344,320360800,326137344,5776544,1,1,0,0,0,0,1,1,0,3623878656
17,59083,1,472,472,21,44,102,110,124,136,10,22,51,55,62,68,0,0,2,2,2,2,12,12,26,26,26,26,30,30,51,51,51,51,0,0,0,321760352,320360800,322226432,320849408,326137344,320360800,326137344,5776544,1,1,0,0,0,0,1,1,0,4026138624
18,14021,1,221,221,2,18,41,114,130,140,1,9,20,57,65,70,0,0,0,2,2,2,12,12,12,26,26,26,30,30,30,51,51,51,0,0,0,251236480,250456960,251237376,246507520,252309888,246507520,252309888,5802368,1,1,0,0,0,0,1,1,0,3475243008
19,37001,1,220,220,10,25,34,98,106,108,5,12,17,49,53,54,0,0,0,2,2,2,12,12,12,26,26,26,30,30,30,51,51,51,0,0,0,250456960,251236480,246507520,251237376,252309888,246507520,252309888,5802368,1,1,0,0,0,0,1,1,0,3567255552
20,30375,1,192,192,8,14,39,44,52,114,4,7,19,22,26,57,0,0,0,0,1,2,12,12,12,12,22,26,30,30,30,30,45,51,0,0,0,309854272,308446368,308436096,311351680,314382976,308436096,314382976,5946880,1,1,0,0,0,0,1,1,0,3509452800
21,41571,1,193,193,12,17,30,32,90,106,6,8,15,16,45,53,0,0,0,0,1,2,12,12,12,12,22,26,30,30,30,30,45,51,0,0,0,308446368,309854272,311351680,308436096,314382976,308436096,314382976,5946880,1,1,0,0,0,0,1,1,0,3505913856
22,8066,1,346,346,1,26,32,36,66,143,0,13,16,18,33,71,0,0,0,0,1,2,12,12,12,12,22,26,30,30,30,30,45,51,0,0,0,690528832,690672128,695049024,696362880,696548032,690528832,696548032,6019200,1,1,0,0,0,0,1,1,0,5101977600
23,46491,1,347,347,14,20,28,47,58,97,7,10,14,23,29,48,0,0,0,0,1,2,12,12,12,12,22,26,30,30,30,30,45,51,0,0,0,690672128,690528832,696362880,695049024,696548032,690528832,696548032,6019200,1,1,0,0,0,0,1,1,0,4522770432
24,21061,1,414,414,4,17,32,54,126,136,2,8,16,27,63,68,0,0,0,1,2,2,12,12,12,22,26,26,30,30,30,45,51,51,0,0,0,352477184,347811392,352960128,353864192,351545088,347811392,353864192,6052800,1,1,0,0,0,0,1,1,0,3954180096
25,47329,1,415,415,14,39,42,70,104,120,7,19,21,35,52,60,0,0,0,1,2,2,12,12,12,22,26,26,30,30,30,45,51,51,0,0,0,347811392,352477184,353864192,352960128,351545088,347811392,353864192,6052800,1,1,0,0,0,0,1,1,0,3367895040
26,630,1,280,280,0,2,25,34,102,130,0,1,12,17,51,65,0,0,0,0,2,2,12,12,12,12,26,26,30,30,30,30,51,51,0,0,0,224091552,227629408,221849728,226089216,227947520,221849728,227947520,6097792,1,1,0,0,0,0,1,1,0,3321888768
27,15651,1,281,281,2,34,41,46,98,118,1,17,20,23,49,59,0,0,0,0,2,2,12,12,12,12,26,26,30,30,30,30,51,51,0,0,0,227629408,224091552,226089216,221849728,227947520,221849728,227947520,6097792,1,1,0,0,0,0,1,1,0,3235774464
28,4993,1,410,410,1,2,37,40,86,133,0,1,18,20,43,66,0,0,0,0,1,2,12,12,12,12,22,26,30,30,30,30,45,51,0,0,0,740250112,740462848,740380160,736697216,742803552,736697216,742803552,6106336,1,1,0,0,0,0,1,1,0,5590351872
29,62081,1,411,411,24,29,34,47,64,125,12,14,17,23,32,62,0,0,0,0,1,2,12,12,12,12,22,26,30,30,30,30,45,51,0,0,0,740462848,740250112,736697216,740380160,742803552,736697216,742803552,6106336,1,1,0,0,0,0,1,1,0,4777574400
30,9885,1,418,418,2,6,14,20,29,108,1,3,7,10,14,54,0,0,0,0,0,2,12,12,12,12,12,26,30,30,30,30,30,51,0,0,0,220510368,226390400,226232640,223817856,226720832,220510368,226720832,6210464,1,1,0,0,0,0,1,1,0,3435134976
31,59512,1,419,419,22,26,32,34,37,140,11,13,16,17,18,70,0,0,0,0,0,2,12,12,12,12,12,26,30,30,30,30,30,51,0,0,0,226390400,220510368,223817856,226232640,226720832,220510368,226720832,6210464,1,1,0,0,0,0,1,1,0,2927886336
