join_id,carrier_id,atom_id,step_atom_id,candidate_basis_id,visible_index,relation_id,transition_id,visible20_cleared_num,promotion_transition_present_flag,guarded_relation_semantic_flag,operation_row_present_flag,semantic_transition_flag,operation_backed_normalized_flag,obstruction_code
158,50,12,14,14,19,55,44,-84370489896,1,1,0,0,0,0
159,50,12,14,14,19,56,53,-84370489896,1,1,0,0,0,0
160,50,12,14,14,19,57,17,-84370489896,1,1,0,0,0,0
161,50,12,14,14,19,58,42,-84370489896,1,1,0,0,0,0
162,51,12,18,18,19,53,16,-84370489896,1,1,0,0,0,0
163,51,12,18,18,19,54,16,-84370489896,1,1,0,0,0,0
164,51,12,18,18,19,55,44,-84370489896,1,1,0,0,0,0
165,51,12,18,18,19,56,53,-84370489896,1,1,0,0,0,0
166,51,12,18,18,19,57,17,-84370489896,1,1,0,0,0,0
167,51,12,18,18,19,58,42,-84370489896,1,1,0,0,0,0
168,52,12,20,20,19,53,16,-84370489896,1,1,0,0,0,0
169,52,12,20,20,19,54,16,-84370489896,1,1,0,0,0,0
170,52,12,20,20,19,55,44,-84370489896,1,1,0,0,0,0
171,52,12,20,20,19,56,53,-84370489896,1,1,0,0,0,0
172,52,12,20,20,19,57,17,-84370489896,1,1,0,0,0,0
173,52,12,20,20,19,58,42,-84370489896,1,1,0,0,0,0
174,53,13,4,4,6,14,49,2254860620,1,1,0,0,0,0
175,54,13,16,16,6,14,49,2254860620,1,1,0,0,0,0
176,55,13,23,23,6,14,49,2254860620,1,1,0,0,0,0
177,56,14,1,1,13,33,0,-71341775484,1,1,0,0,0,0
178,56,14,1,1,13,34,3,-71341775484,1,1,0,0,0,0
179,56,14,1,1,13,35,38,-71341775484,1,1,0,0,0,0
180,56,14,1,1,13,36,40,-71341775484,1,1,0,0,0,0
181,56,14,1,1,13,37,26,-71341775484,1,1,0,0,0,0
182,57,14,13,13,13,33,0,-71341775484,1,1,0,0,0,0
183,57,14,13,13,13,34,3,-71341775484,1,1,0,0,0,0
184,57,14,13,13,13,35,38,-71341775484,1,1,0,0,0,0
185,57,14,13,13,13,36,40,-71341775484,1,1,0,0,0,0
186,57,14,13,13,13,37,26,-71341775484,1,1,0,0,0,0
187,58,14,15,15,13,33,0,-71341775484,1,1,0,0,0,0
188,58,14,15,15,13,34,3,-71341775484,1,1,0,0,0,0
189,58,14,15,15,13,35,38,-71341775484,1,1,0,0,0,0
190,58,14,15,15,13,36,40,-71341775484,1,1,0,0,0,0
191,58,14,15,15,13,37,26,-71341775484,1,1,0,0,0,0
192,59,14,19,19,13,33,0,-71341775484,1,1,0,0,0,0
193,59,14,19,19,13,34,3,-71341775484,1,1,0,0,0,0
194,59,14,19,19,13,35,38,-71341775484,1,1,0,0,0,0
195,59,14,19,19,13,36,40,-71341775484,1,1,0,0,0,0
196,59,14,19,19,13,37,26,-71341775484,1,1,0,0,0,0
197,60,14,22,22,13,33,0,-71341775484,1,1,0,0,0,0
198,60,14,22,22,13,34,3,-71341775484,1,1,0,0,0,0
199,60,14,22,22,13,35,38,-71341775484,1,1,0,0,0,0
200,60,14,22,22,13,36,40,-71341775484,1,1,0,0,0,0
201,60,14,22,22,13,37,26,-71341775484,1,1,0,0,0,0
202,61,16,0,0,8,21,49,-1352916372,1,1,0,0,0,0
203,62,16,2,2,8,21,49,-1352916372,1,1,0,0,0,0
204,63,16,3,3,8,21,49,-1352916372,1,1,0,0,0,0
205,64,16,21,21,8,21,49,-1352916372,1,1,0,0,0,0
206,65,16,24,24,8,21,49,-1352916372,1,1,0,0,0,0
207,66,17,4,4,12,32,13,-11616291170,1,1,0,0,0,0
208,67,17,6,6,12,32,13,-11616291170,1,1,0,0,0,0
209,68,17,21,21,12,32,13,-11616291170,1,1,0,0,0,0
210,69,17,24,24,12,32,13,-11616291170,1,1,0,0,0,0
211,70,18,5,5,11,29,4,-12186191745,1,1,0,0,0,0
212,70,18,5,5,11,30,44,-12186191745,1,1,0,0,0,0
213,70,18,5,5,11,31,40,-12186191745,1,1,0,0,0,0
214,71,18,9,9,11,29,4,-12186191745,1,1,0,0,0,0
215,71,18,9,9,11,30,44,-12186191745,1,1,0,0,0,0
216,71,18,9,9,11,31,40,-12186191745,1,1,0,0,0,0
217,72,18,14,14,11,29,4,-12186191745,1,1,0,0,0,0
218,72,18,14,14,11,30,44,-12186191745,1,1,0,0,0,0
219,72,18,14,14,11,31,40,-12186191745,1,1,0,0,0,0
220,73,18,19,19,11,29,4,-12186191745,1,1,0,0,0,0
221,73,18,19,19,11,30,44,-12186191745,1,1,0,0,0,0
222,73,18,19,19,11,31,40,-12186191745,1,1,0,0,0,0
223,74,19,4,4,10,27,19,-1200000000000,1,1,0,0,0,0
224,74,19,4,4,10,28,49,-1200000000000,1,1,0,0,0,0
225,75,19,9,9,10,27,19,-1200000000000,1,1,0,0,0,0
226,75,19,9,9,10,28,49,-1200000000000,1,1,0,0,0,0
227,76,19,16,16,10,27,19,-1200000000000,1,1,0,0,0,0
228,76,19,16,16,10,28,49,-1200000000000,1,1,0,0,0,0
