weight_type,series,total_dimension_n,q_exponent,coefficient
half,grade0,30,168,600
half,grade0,30,172,60
half,grade0,30,176,12
half,grade0,30,180,120
half,grade0,30,192,120
half,grade0,30,196,60
half,grade0,30,200,12
half,grade0,30,216,12
half,grade0,30,224,12
half,grade0,32,0,581184
half,grade0,32,4,315180
half,grade0,32,8,540600
half,grade0,32,12,567840
half,grade0,32,16,781620
half,grade0,32,20,704436
half,grade0,32,24,990480
half,grade0,32,28,828960
half,grade0,32,32,1033764
half,grade0,32,36,929412
half,grade0,32,40,993600
half,grade0,32,44,757920
half,grade0,32,48,845295
half,grade0,32,52,537192
half,grade0,32,56,537786
half,grade0,32,60,417312
half,grade0,32,64,389775
half,grade0,32,68,233160
half,grade0,32,72,258624
half,grade0,32,76,136620
half,grade0,32,80,158400
half,grade0,32,84,108120
half,grade0,32,88,80160
half,grade0,32,92,44940
half,grade0,32,96,71484
half,grade0,32,100,39540
half,grade0,32,104,29640
half,grade0,32,108,23040
half,grade0,32,112,23436
half,grade0,32,116,9240
half,grade0,32,120,20364
half,grade0,32,124,7800
half,grade0,32,128,10935
half,grade0,32,132,4080
half,grade0,32,136,1890
half,grade0,32,140,5520
half,grade0,32,144,6960
half,grade0,32,148,2520
half,grade0,32,152,780
half,grade0,32,156,132
half,grade0,32,160,2670
half,grade0,32,164,540
half,grade0,32,168,2160
half,grade0,32,172,480
half,grade0,32,176,240
half,grade0,32,180,600
half,grade0,32,184,60
half,grade0,32,192,612
half,grade0,32,196,360
half,grade0,32,200,150
half,grade0,32,216,120
half,grade0,32,220,12
half,grade0,32,224,120
half,grade0,32,240,12
half,grade0,32,252,12
half,grade0,32,256,6
half,grade0,34,0,783564
half,grade0,34,4,414012
half,grade0,34,8,719280
half,grade0,34,12,760560
half,grade0,34,16,1060320
half,grade0,34,20,963012
half,grade0,34,24,1381824
half,grade0,34,28,1173840
half,grade0,34,32,1502940
half,grade0,34,36,1391940
half,grade0,34,40,1545288
half,grade0,34,44,1281708
half,grade0,34,48,1512864
half,grade0,34,52,1036380
half,grade0,34,56,1043340
half,grade0,34,60,846972
half,grade0,34,64,822192
half,grade0,34,68,538452
half,grade0,34,72,592860
half,grade0,34,76,347220
half,grade0,34,80,383124
half,grade0,34,84,269880
half,grade0,34,88,215820
half,grade0,34,92,130680
half,grade0,34,96,181920
half,grade0,34,100,106860
half,grade0,34,104,83580
half,grade0,34,108,68064
half,grade0,34,112,67920
half,grade0,34,116,31800
half,grade0,34,120,53832
half,grade0,34,124,24180
half,grade0,34,128,32184
half,grade0,34,132,16020
half,grade0,34,136,10320
half,grade0,34,140,14124
half,grade0,34,144,19152
half,grade0,34,148,9300
half,grade0,34,152,5040
half,grade0,34,156,1620
half,grade0,34,160,7800
half,grade0,34,164,2520
half,grade0,34,168,6672
half,grade0,34,172,2040
half,grade0,34,176,1740
half,grade0,34,180,2220
half,grade0,34,184,540
half,grade0,34,188,120
half,grade0,34,192,2160
half,grade0,34,196,1500
half,grade0,34,200,960
half,grade0,34,204,120
half,grade0,34,208,12
half,grade0,34,216,600
half,grade0,34,220,180
half,grade0,34,224,600
half,grade0,34,228,60
half,grade0,34,240,132
half,grade0,34,252,120
half,grade0,34,256,60
half,grade0,34,264,12
half,grade0,34,280,12
half,grade0,34,288,12
half,grade0,36,0,1038984
half,grade0,36,4,534540
half,grade0,36,8,938904
half,grade0,36,12,997600
half,grade0,36,16,1405260
half,grade0,36,20,1281972
half,grade0,36,24,1871120
half,grade0,36,28,1603584
half,grade0,36,32,2096580
half,grade0,36,36,1980260
half,grade0,36,40,2258304
half,grade0,36,44,1943520
half,grade0,36,48,2419544
half,grade0,36,52,1829340
half,grade0,36,56,1862280
half,grade0,36,60,1553124
half,grade0,36,64,1554072
half,grade0,36,68,1107864
half,grade0,36,72,1216400
half,grade0,36,76,787260
half,grade0,36,80,847872
half,grade0,36,84,616086
half,grade0,36,88,528504
half,grade0,36,92,337620
half,grade0,36,96,428440
half,grade0,36,100,265680
half,grade0,36,104,224400
half,grade0,36,108,176120
half,grade0,36,112,175980
half,grade0,36,116,97110
half,grade0,36,120,136464
half,grade0,36,124,67620
half,grade0,36,128,85092
half,grade0,36,132,50760
half,grade0,36,136,38400
half,grade0,36,140,37560
half,grade0,36,144,48804
half,grade0,36,148,26220
half,grade0,36,152,20040
half,grade0,36,156,9900
half,grade0,36,160,20904
half,grade0,36,164,8430
half,grade0,36,168,18504
half,grade0,36,172,6960
half,grade0,36,176,7380
half,grade0,36,180,7362
half,grade0,36,184,2760
half,grade0,36,188,1080
half,grade0,36,192,6240
half,grade0,36,196,4740
half,grade0,36,200,4080
half,grade0,36,204,1140
half,grade0,36,208,360
half,grade0,36,212,30
half,grade0,36,216,2040
half,grade0,36,220,1080
half,grade0,36,224,2232
half,grade0,36,228,480
half,grade0,36,232,120
half,grade0,36,240,720
half,grade0,36,244,60
half,grade0,36,252,600
half,grade0,36,256,360
half,grade0,36,260,42
half,grade0,36,264,120
half,grade0,36,280,120
half,grade0,36,288,132
half,grade0,36,308,12
half,grade0,36,320,12
half,grade0,36,324,6
half,grade0,38,0,1357284
half,grade0,38,4,679740
half,grade0,38,8,1205280
half,grade0,38,12,1285104
half,grade0,38,16,1825752
half,grade0,38,20,1669092
half,grade0,38,24,2472000
half,grade0,38,28,2128560
half,grade0,38,32,2831244
half,grade0,38,36,2710020
half,grade0,38,40,3152184
half,grade0,38,44,2779440
half,grade0,38,48,3544320
half,grade0,38,52,2872560
half,grade0,38,56,3096456
half,grade0,38,60,2643240
half,grade0,38,64,2678040
half,grade0,38,68,2035140
half,grade0,38,72,2267016
half,grade0,38,76,1582392
half,grade0,38,80,1715784
half,grade0,38,84,1288020
half,grade0,38,88,1165440
half,grade0,38,92,792852
half,grade0,38,96,943944
half,grade0,38,100,607032
half,grade0,38,104,548460
half,grade0,38,108,431760
half,grade0,38,112,413220
half,grade0,38,116,258420
half,grade0,38,120,329820
half,grade0,38,124,178800
half,grade0,38,128,207660
half,grade0,38,132,140004
half,grade0,38,136,113772
half,grade0,38,140,98880
half,grade0,38,144,122220
half,grade0,38,148,65880
half,grade0,38,152,59280
half,grade0,38,156,38880
half,grade0,38,160,56424
half,grade0,38,164,24480
half,grade0,38,168,46500
half,grade0,38,172,21240
half,grade0,38,176,23940
half,grade0,38,180,21864
half,grade0,38,184,11400
half,grade0,38,188,5160
half,grade0,38,192,16716
half,grade0,38,196,12432
half,grade0,38,200,12840
half,grade0,38,204,5820
half,grade0,38,208,3000
half,grade0,38,212,480
half,grade0,38,216,5580
half,grade0,38,220,4020
half,grade0,38,224,7080
half,grade0,38,228,2160
half,grade0,38,232,1140
half,grade0,38,236,120
half,grade0,38,240,2712
half,grade0,38,244,540
half,grade0,38,248,120
half,grade0,38,252,2040
half,grade0,38,256,1500
half,grade0,38,260,480
half,grade0,38,264,660
half,grade0,38,268,60
half,grade0,38,280,612
half,grade0,38,284,60
half,grade0,38,288,720
half,grade0,38,292,60
half,grade0,38,308,120
half,grade0,38,312,12
half,grade0,38,320,120
half,grade0,38,324,60
half,grade0,38,336,12
half,grade0,38,352,12
half,grade0,38,360,12
half,grade0,40,0,1749456
half,grade0,40,4,852780
half,grade0,40,8,1524600
half,grade0,40,12,1629600
half,grade0,40,16,2331684
half,grade0,40,20,2132532
half,grade0,40,24,3198864
half,grade0,40,28,2759520
half,grade0,40,32,3724260
half,grade0,40,36,3597444
half,grade0,40,40,4248144
half,grade0,40,44,3804960
half,grade0,40,48,4953120
half,grade0,40,52,4108860
half,grade0,40,56,4683240
half,grade0,40,60,4238232
half,grade0,40,64,4316388
half,grade0,40,68,3404100
half,grade0,40,72,3855075
half,grade0,40,76,2874492
half,grade0,40,80,3143046
half,grade0,40,84,2484336
half,grade0,40,88,2319915
half,grade0,40,92,1679160
half,grade0,40,96,1940094
half,grade0,40,100,1302732
half,grade0,40,104,1214106
half,grade0,40,108,976020
half,grade0,40,112,927240
half,grade0,40,116,607872
half,grade0,40,120,745086
half,grade0,40,124,442980
half,grade0,40,128,482760
half,grade0,40,132,345240
half,grade0,40,136,297270
half,grade0,40,140,243360
half,grade0,40,144,294816
half,grade0,40,148,163800
half,grade0,40,152,151560
half,grade0,40,156,113220
half,grade0,40,160,147630
half,grade0,40,164,70860
half,grade0,40,168,108900
half,grade0,40,172,57780
half,grade0,40,176,67764
half,grade0,40,180,57840
half,grade0,40,184,38520
half,grade0,40,188,19680
half,grade0,40,192,43140
half,grade0,40,196,30180
half,grade0,40,200,33399
half,grade0,40,204,20172
half,grade0,40,208,14190
half,grade0,40,212,4320
half,grade0,40,216,14064
half,grade0,40,220,11160
half,grade0,40,224,19344
half,grade0,40,228,7980
half,grade0,40,232,5310
half,grade0,40,236,1500
half,grade0,40,240,8280
half,grade0,40,244,2400
half,grade0,40,248,1320
half,grade0,40,252,5520
half,grade0,40,256,4692
half,grade0,40,260,2640
half,grade0,40,264,2760
half,grade0,40,268,600
half,grade0,40,272,150
half,grade0,40,280,2160
half,grade0,40,284,480
half,grade0,40,288,2760
half,grade0,40,292,540
half,grade0,40,296,120
half,grade0,40,300,12
half,grade0,40,308,600
half,grade0,40,312,180
half,grade0,40,320,600
half,grade0,40,324,360
half,grade0,40,328,30
half,grade0,40,336,132
half,grade0,40,352,120
half,grade0,40,360,120
half,grade0,40,364,12
half,grade0,40,384,12
half,grade0,40,396,12
half,grade0,40,400,6
half,grade1,3,0,20
half,grade1,5,0,180
half,grade1,5,2,60
half,grade1,7,0,840
half,grade1,7,2,480
half,grade1,7,4,180
half,grade1,7,6,60
half,grade1,9,0,2760
half,grade1,9,2,1980
half,grade1,9,4,1320
half,grade1,9,6,860
half,grade1,9,8,240
half,grade1,9,10,60
half,grade1,9,12,60
half,grade1,11,0,7260
half,grade1,11,2,5760
half,grade1,11,4,5040
half,grade1,11,6,4500
half,grade1,11,8,2400
half,grade1,11,10,1200
half,grade1,11,12,780
half,grade1,11,14,180
half,grade1,11,16,60
half,grade1,11,18,60
half,grade1,11,20,60
half,grade1,13,0,16380
half,grade1,13,2,13500
half,grade1,13,4,13740
half,grade1,13,6,14520
half,grade1,13,8,10500
half,grade1,13,10,7620
half,grade1,13,12,5640
half,grade1,13,14,2460
half,grade1,13,16,1140
half,grade1,13,18,840
half,grade1,13,20,600
half,grade1,13,22,120
half,grade1,13,24,180
half,grade1,13,28,60
half,grade1,13,30,60
half,grade1,15,0,33040
half,grade1,15,2,27360
half,grade1,15,4,30540
half,grade1,15,6,35500
half,grade1,15,8,30120
half,grade1,15,10,26820
half,grade1,15,12,23740
half,grade1,15,14,14880
half,grade1,15,16,9120
half,grade1,15,18,6560
half,grade1,15,20,4200
half,grade1,15,22,1560
half,grade1,15,24,1860
half,grade1,15,26,600
half,grade1,15,28,480
half,grade1,15,30,660
half,grade1,15,32,240
half,grade1,15,36,120
half,grade1,15,40,60
half,grade1,15,42,60
half,grade1,17,0,61200
half,grade1,17,2,49980
half,grade1,17,4,59280
half,grade1,17,6,72960
half,grade1,17,8,67680
half,grade1,17,10,67440
half,grade1,17,12,67560
half,grade1,17,14,52500
half,grade1,17,16,40200
half,grade1,17,18,32820
half,grade1,17,20,22500
half,grade1,17,22,11880
half,grade1,17,24,10860
half,grade1,17,26,5340
half,grade1,17,28,4080
half,grade1,17,30,4020
half,grade1,17,32,2280
half,grade1,17,34,840
half,grade1,17,36,1080
half,grade1,17,38,300
half,grade1,17,40,600
half,grade1,17,42,600
half,grade1,17,44,180
half,grade1,17,48,120
half,grade1,17,50,60
half,grade1,17,54,60
half,grade1,17,56,60
half,grade1,19,0,106020
half,grade1,19,2,84480
half,grade1,19,4,104520
half,grade1,19,6,133380
half,grade1,19,8,130500
half,grade1,19,10,138660
half,grade1,19,12,149940
half,grade1,19,14,131280
half,grade1,19,16,116040
half,grade1,19,18,108480
half,grade1,19,20,85500
half,grade1,19,22,57540
half,grade1,19,24,49320
half,grade1,19,26,28920
half,grade1,19,28,22380
half,grade1,19,30,20460
half,grade1,19,32,12600
half,grade1,19,34,7140
half,grade1,19,36,7740
half,grade1,19,38,3120
half,grade1,19,40,3960
half,grade1,19,42,3660
half,grade1,19,44,1680
half,grade1,19,46,600
half,grade1,19,48,1080
half,grade1,19,50,840
half,grade1,19,52,180
half,grade1,19,54,480
half,grade1,19,56,600
half,grade1,19,58,120
half,grade1,19,60,180
half,grade1,19,64,60
half,grade1,19,66,60
half,grade1,19,70,60
half,grade1,19,72,60
half,grade1,21,0,174020
half,grade1,21,2,134460
half,grade1,21,4,171540
half,grade1,21,6,224200
half,grade1,21,8,226860
half,grade1,21,10,250560
half,grade1,21,12,284580
half,grade1,21,14,265980
half,grade1,21,16,255540
half,grade1,21,18,262220
half,grade1,21,20,231480
half,grade1,21,22,185940
half,grade1,21,24,170020
half,grade1,21,26,117360
half,grade1,21,28,92100
half,grade1,21,30,81200
half,grade1,21,32,55500
half,grade1,21,34,37020
half,grade1,21,36,37100
half,grade1,21,38,20580
half,grade1,21,40,19800
half,grade1,21,42,17640
half,grade1,21,44,10680
half,grade1,21,46,5520
half,grade1,21,48,6840
half,grade1,21,50,5340
half,grade1,21,52,2520
half,grade1,21,54,2940
half,grade1,21,56,3060
half,grade1,21,58,1200
half,grade1,21,60,1860
half,grade1,21,62,600
half,grade1,21,64,420
half,grade1,21,66,660
half,grade1,21,68,120
half,grade1,21,70,540
half,grade1,21,72,720
half,grade1,21,74,120
half,grade1,21,78,60
half,grade1,21,80,120
half,grade1,21,84,60
half,grade1,21,88,60
half,grade1,21,90,60
half,grade1,23,0,273240
half,grade1,23,2,204000
half,grade1,23,4,266340
half,grade1,23,6,353820
half,grade1,23,8,366000
half,grade1,23,10,414180
half,grade1,23,12,486600
half,grade1,23,14,471960
half,grade1,23,16,476700
half,grade1,23,18,517740
half,grade1,23,20,489300
half,grade1,23,22,438720
half,grade1,23,24,436020
half,grade1,23,26,348420
half,grade1,23,28,297180
half,grade1,23,30,264360
half,grade1,23,32,194640
half,grade1,23,34,144540
half,grade1,23,36,136680
half,grade1,23,38,90420
half,grade1,23,40,82200
half,grade1,23,42,71400
half,grade1,23,44,49740
half,grade1,23,46,31920
half,grade1,23,48,32640
half,grade1,23,50,24960
half,grade1,23,52,16620
half,grade1,23,54,15900
half,grade1,23,56,13500
half,grade1,23,58,7020
half,grade1,23,60,10080
half,grade1,23,62,5280
half,grade1,23,64,3600
half,grade1,23,66,3780
half,grade1,23,68,1500
half,grade1,23,70,3000
half,grade1,23,72,3900
half,grade1,23,74,1560
half,grade1,23,76,480
half,grade1,23,78,600
half,grade1,23,80,1020
half,grade1,23,82,360
half,grade1,23,84,600
half,grade1,23,86,120
half,grade1,23,88,480
half,grade1,23,90,660
half,grade1,23,92,120
half,grade1,23,96,120
half,grade1,23,98,60
half,grade1,23,100,60
half,grade1,23,104,60
half,grade1,23,108,60
half,grade1,23,110,60
half,grade1,25,0,413400
half,grade1,25,2,297660
half,grade1,25,4,395640
half,grade1,25,6,531600
half,grade1,25,8,558120
half,grade1,25,10,641520
half,grade1,25,12,772560
half,grade1,25,14,765540
half,grade1,25,16,798720
half,grade1,25,18,899460
half,grade1,25,20,884520
half,grade1,25,22,843540
half,grade1,25,24,887040
half,grade1,25,26,781740
half,grade1,25,28,730380
half,grade1,25,30,694800
half,grade1,25,32,558420
half,grade1,25,34,447420
half,grade1,25,36,416100
half,grade1,25,38,304620
half,grade1,25,40,273840
half,grade1,25,42,242760
half,grade1,25,44,183360
half,grade1,25,46,133680
half,grade1,25,48,129240
half,grade1,25,50,98340
half,grade1,25,52,73860
half,grade1,25,54,69240
half,grade1,25,56,55500
half,grade1,25,58,34020
half,grade1,25,60,42480
half,grade1,25,62,25500
half,grade1,25,64,20400
half,grade1,25,66,19920
half,grade1,25,68,9960
half,grade1,25,70,13440
half,grade1,25,72,15780
half,grade1,25,74,8700
half,grade1,25,76,5280
half,grade1,25,78,4380
half,grade1,25,80,5040
half,grade1,25,82,2880
half,grade1,25,84,4020
half,grade1,25,86,1560
half,grade1,25,88,2340
half,grade1,25,90,3480
half,grade1,25,92,1320
half,grade1,25,94,480
half,grade1,25,96,1080
half,grade1,25,98,840
half,grade1,25,100,540
half,grade1,25,102,240
half,grade1,25,104,480
half,grade1,25,106,120
half,grade1,25,108,480
half,grade1,25,110,600
half,grade1,25,112,300
half,grade1,25,120,180
half,grade1,25,126,60
half,grade1,25,130,60
half,grade1,25,132,60
half,grade1,27,0,606060
half,grade1,27,2,420480
half,grade1,27,4,566880
half,grade1,27,6,767860
half,grade1,27,8,814380
half,grade1,27,10,945540
half,grade1,27,12,1160460
half,grade1,27,14,1164000
half,grade1,27,16,1242000
half,grade1,27,18,1433300
half,grade1,27,20,1444740
half,grade1,27,22,1429080
half,grade1,27,24,1556780
half,grade1,27,26,1447980
half,grade1,27,28,1433340
half,grade1,27,30,1457260
half,grade1,27,32,1280160
half,grade1,27,34,1118700
half,grade1,27,36,1068080
half,grade1,27,38,840960
half,grade1,27,40,758880
half,grade1,27,42,687560
half,grade1,27,44,552780
half,grade1,27,46,440220
half,grade1,27,48,418760
half,grade1,27,50,331440
half,grade1,27,52,265080
half,grade1,27,54,243860
half,grade1,27,56,199560
half,grade1,27,58,140040
half,grade1,27,60,153320
half,grade1,27,62,101460
half,grade1,27,64,83640
half,grade1,27,66,81180
half,grade1,27,68,52620
half,grade1,27,70,53220
half,grade1,27,72,56580
half,grade1,27,74,36060
half,grade1,27,76,27000
half,grade1,27,78,24480
half,grade1,27,80,22260
half,grade1,27,82,14460
half,grade1,27,84,18480
half,grade1,27,86,10500
half,grade1,27,88,10620
half,grade1,27,90,13740
half,grade1,27,92,7200
half,grade1,27,94,4200
half,grade1,27,96,6120
half,grade1,27,98,5100
half,grade1,27,100,3660
half,grade1,27,102,2400
half,grade1,27,104,2700
half,grade1,27,106,1020
half,grade1,27,108,2460
half,grade1,27,110,2940
half,grade1,27,112,2520
half,grade1,27,114,1020
half,grade1,27,116,120
half,grade1,27,120,1320
half,grade1,27,122,480
half,grade1,27,126,540
half,grade1,27,128,240
half,grade1,27,130,480
half,grade1,27,132,600
half,grade1,27,134,120
half,grade1,27,136,60
half,grade1,27,140,120
half,grade1,27,144,120
half,grade1,27,150,60
half,grade1,27,154,60
half,grade1,27,156,60
half,grade1,29,0,864780
half,grade1,29,2,577980
half,grade1,29,4,788220
half,grade1,29,6,1073880
half,grade1,29,8,1146900
half,grade1,29,10,1340160
half,grade1,29,12,1669740
half,grade1,29,14,1685580
half,grade1,29,16,1828140
half,grade1,29,18,2146620
half,grade1,29,20,2199000
half,grade1,29,22,2225340
half,grade1,29,24,2483940
half,grade1,29,26,2383620
half,grade1,29,28,2439180
half,grade1,29,30,2583420
half,grade1,29,32,2397840
half,grade1,29,34,2255940
half,grade1,29,36,2275080
half,grade1,29,38,1935720
half,grade1,29,40,1800900
half,grade1,29,42,1662600
half,grade1,29,44,1396860
half,grade1,29,46,1182300
half,grade1,29,48,1131060
half,grade1,29,50,939840
half,grade1,29,52,792960
half,grade1,29,54,731400
half,grade1,29,56,608400
half,grade1,29,58,472860
half,grade1,29,60,485760
half,grade1,29,62,346740
half,grade1,29,64,295620
half,grade1,29,66,274560
half,grade1,29,68,203520
half,grade1,29,70,192300
half,grade1,29,72,187320
half,grade1,29,74,131220
half,grade1,29,76,105120
half,grade1,29,78,98220
half,grade1,29,80,87840
half,grade1,29,82,61320
half,grade1,29,84,69240
half,grade1,29,86,46080
half,grade1,29,88,43980
half,grade1,29,90,50760
half,grade1,29,92,30180
half,grade1,29,94,21180
half,grade1,29,96,26280
half,grade1,29,98,22140
half,grade1,29,100,18120
half,grade1,29,102,14220
half,grade1,29,104,12360
half,grade1,29,106,6540
half,grade1,29,108,10320
half,grade1,29,110,11040
half,grade1,29,112,11040
half,grade1,29,114,7320
half,grade1,29,116,3480
half,grade1,29,118,1080
half,grade1,29,120,5460
half,grade1,29,122,3120
half,grade1,29,124,1320
half,grade1,29,126,3000
half,grade1,29,128,1800
half,grade1,29,130,2700
half,grade1,29,132,2940
half,grade1,29,134,1200
half,grade1,29,136,960
half,grade1,29,138,240
half,grade1,29,140,900
half,grade1,29,142,360
half,grade1,29,144,1020
half,grade1,29,146,300
half,grade1,29,150,480
half,grade1,29,152,180
half,grade1,29,154,480
half,grade1,29,156,600
half,grade1,29,158,120
half,grade1,29,160,120
half,grade1,29,162,60
half,grade1,29,168,120
half,grade1,29,170,60
half,grade1,29,176,60
half,grade1,29,180,60
half,grade1,29,182,60
half,grade1,31,0,1205280
half,grade1,31,2,776160
half,grade1,31,4,1068540
half,grade1,31,6,1461900
half,grade1,31,8,1568760
half,grade1,31,10,1840260
half,grade1,31,12,2321280
half,grade1,31,14,2349480
half,grade1,31,16,2579940
half,grade1,31,18,3068220
half,grade1,31,20,3177780
half,grade1,31,22,3263280
half,grade1,31,24,3709080
